city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Anchorage,Anchorage,AK,Alaska,2020,Anchorage,61.1508,-149.1091,289069,65.4,shape,FALSE,TRUE,America/Anchorage,2,99518 99515 99517 99516 99513 99540 99530 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99510 99511 99514 99520 99521 99522 99523 99524 99529 99599,1840023385
Fairbanks,Fairbanks,AK,Alaska,2090,Fairbanks North Star,64.8353,-147.6533,71555,392.1,shape,FALSE,TRUE,America/Anchorage,3,99701 99703 99712,1840023463
Juneau,Juneau,AK,Alaska,2110,Juneau,58.4546,-134.1739,31969,4.6,shape,FALSE,TRUE,America/Juneau,2,99824 99801 99802 99803 99811 99812 99821,1840023306
Badger,Badger,AK,Alaska,2090,Fairbanks North Star,64.8006,-147.3877,19033,111.8,shape,FALSE,FALSE,America/Anchorage,3,99705 99711,1840023690
Knik-Fairview,Knik-Fairview,AK,Alaska,2170,Matanuska-Susitna,61.5082,-149.6252,18921,99.3,shape,FALSE,TRUE,America/Anchorage,3,99623 99654,1840075080
College,College,AK,Alaska,2090,Fairbanks North Star,64.8694,-147.8216,11730,241.8,shape,FALSE,FALSE,America/Anchorage,3,99709 99775,1840023462
North Lakes,North Lakes,AK,Alaska,2170,Matanuska-Susitna,61.6191,-149.311,10583,263.9,shape,FALSE,FALSE,America/Anchorage,3,99654 99687,1840152941
Tanaina,Tanaina,AK,Alaska,2170,Matanuska-Susitna,61.6576,-149.4263,9738,124.1,shape,FALSE,FALSE,America/Anchorage,3,99654,1840023662
Wasilla,Wasilla,AK,Alaska,2170,Matanuska-Susitna,61.577,-149.466,9435,293.9,shape,FALSE,TRUE,America/Anchorage,3,99654 99629,1840023371
Meadow Lakes,Meadow Lakes,AK,Alaska,2170,Matanuska-Susitna,61.638,-149.608,8994,46,shape,FALSE,FALSE,America/Anchorage,3,99623 99654 99688,1840023681
Sitka,Sitka,AK,Alaska,2220,Sitka,57.2401,-135.3152,8393,1.1,shape,FALSE,TRUE,America/Sitka,3,99835,1840023319
Ketchikan,Ketchikan,AK,Alaska,2130,Ketchikan Gateway,55.3556,-131.6698,8151,824.9,shape,FALSE,TRUE,America/Sitka,3,99901,1840023270
Kalifornsky,Kalifornsky,AK,Alaska,2122,Kenai Peninsula,60.4417,-151.1972,8136,45.7,shape,FALSE,FALSE,America/Anchorage,3,99610 99611 99669,1840023406
Kenai,Kenai,AK,Alaska,2122,Kenai Peninsula,60.5619,-151.1985,7562,100.2,shape,FALSE,TRUE,America/Anchorage,3,99611,1840023421
