city,city_ascii,state_id,,,county_name,lat,lng,population
New York,New York,NY,,,Queens,40.6943,-73.9249,18832416
Los Angeles,Los Angeles,CA,,,Los Angeles,34.1141,-118.4068,11885717
Chicago,Chicago,IL,,,Cook,41.8375,-87.6866,8489066
Miami,Miami,FL,,,Miami-Dade,25.784,-80.2101,6113982
Houston,Houston,TX,,,Harris,29.786,-95.3885,6046392
Dallas,Dallas,TX,,,Dallas,32.7935,-96.7667,5843632
Philadelphia,Philadelphia,PA,,,Philadelphia,40.0077,-75.1339,5696588
Atlanta,Atlanta,GA,,,Fulton,33.7628,-84.422,5211164
Washington,Washington,DC,,,District of Columbia,38.9047,-77.0163,5146120
Boston,Boston,MA,,,Suffolk,42.3188,-71.0852,4355184
Phoenix,Phoenix,AZ,,,Maricopa,33.5722,-112.0892,4065338
Detroit,Detroit,MI,,,Wayne,42.3834,-83.1024,3716929
Seattle,Seattle,WA,,,King,47.6211,-122.3244,3555253
San Francisco,San Francisco,CA,,,San Francisco,37.7558,-122.4449,3364862
San Diego,San Diego,CA,,,San Diego,32.8313,-117.1222,3057778
Minneapolis,Minneapolis,MN,,,Hennepin,44.9635,-93.2678,2906807
Tampa,Tampa,FL,,,Hillsborough,27.9945,-82.4447,2906035
Brooklyn,Brooklyn,NY,,,Kings,40.6501,-73.9496,2736074
Denver,Denver,CO,,,Denver,39.762,-104.8758,2691349
Queens,Queens,NY,,,Queens,40.7498,-73.7976,2405464
Riverside,Riverside,CA,,,Riverside,33.9381,-117.3949,2288508
Las Vegas,Las Vegas,NV,,,Clark,36.2333,-115.2654,2256509
Baltimore,Baltimore,MD,,,Baltimore,39.3051,-76.6144,2189589
St. Louis,St. Louis,MO,,,St. Louis,38.6359,-90.2451,2127843
Portland,Portland,OR,,,Multnomah,45.5371,-122.65,2084045
San Antonio,San Antonio,TX,,,Bexar,29.4632,-98.5238,2069843
Sacramento,Sacramento,CA,,,Sacramento,38.5677,-121.4685,1962998
Austin,Austin,TX,,,Travis,30.3005,-97.7522,1915031
Orlando,Orlando,FL,,,Orange,28.4773,-81.337,1913597
San Juan,San Juan,PR,,,San Juan,18.3985,-66.061,1809800
San Jose,San Jose,CA,,,Santa Clara,37.3012,-121.848,1771563
Indianapolis,Indianapolis,IN,,,Marion,39.7771,-86.1458,1740984
Pittsburgh,Pittsburgh,PA,,,Allegheny,40.4397,-79.9763,1712828
Cincinnati,Cincinnati,OH,,,Hamilton,39.1027,-84.5122,1704916
Manhattan,Manhattan,NY,,,New York,40.7834,-73.9662,1694263
Kansas City,Kansas City,MO,,,Jackson,39.1238,-94.5541,1686807
Cleveland,Cleveland,OH,,,Cuyahoga,41.4764,-81.6805,1679247
Columbus,Columbus,OH,,,Franklin,39.9862,-82.9855,1578153
Bronx,Bronx,NY,,,Bronx,40.8501,-73.8662,1472654
Charlotte,Charlotte,NC,,,Mecklenburg,35.2083,-80.8303,1436613
Virginia Beach,Virginia Beach,VA,,,Virginia Beach,36.7335,-76.0435,1431821
Jacksonville,Jacksonville,FL,,,Duval,30.3322,-81.6749,1303156
Milwaukee,Milwaukee,WI,,,Milwaukee,43.0642,-87.9675,1290221
Providence,Providence,RI,,,Providence,41.823,-71.4187,1270529
Nashville,Nashville,TN,,,Davidson,36.1715,-86.7842,1178679
Salt Lake City,Salt Lake City,UT,,,Salt Lake,40.7776,-111.9311,1169033
Raleigh,Raleigh,NC,,,Wake,35.8324,-78.6429,1150010
Richmond,Richmond,VA,,,Richmond,37.5295,-77.4756,1081248
Memphis,Memphis,TN,,,Shelby,35.1087,-89.9663,1033394
Oklahoma City,Oklahoma City,OK,,,Oklahoma,35.4676,-97.5136,1000207
Hartford,Hartford,CT,,,Capitol,41.7661,-72.6834,969171
Louisville,Louisville,KY,,,Jefferson,38.1663,-85.6485,965005
Buffalo,Buffalo,NY,,,Erie,42.9018,-78.8487,949547
Fort Worth,Fort Worth,TX,,,Tarrant,32.7817,-97.3474,941311
Bridgeport,Bridgeport,CT,,,Greater Bridgeport,41.1918,-73.1954,921660
New Orleans,New Orleans,LA,,,Orleans,30.0687,-89.9288,918752
Tucson,Tucson,AZ,,,Pima,32.1541,-110.8787,879871
El Paso,El Paso,TX,,,El Paso,31.8476,-106.43,862494
Omaha,Omaha,NE,,,Douglas,41.2627,-96.0529,826161
McAllen,McAllen,TX,,,Hidalgo,26.2252,-98.2467,810034
Birmingham,Birmingham,AL,,,Jefferson,33.5279,-86.7971,778756
Albuquerque,Albuquerque,NM,,,Bernalillo,35.1054,-106.6465,767499
Tulsa,Tulsa,OK,,,Tulsa,36.1283,-95.9042,740620
Charleston,Charleston,SC,,,Charleston,32.8168,-79.9687,726389
Fresno,Fresno,CA,,,Fresno,36.783,-119.7939,724547
Rochester,Rochester,NY,,,Monroe,43.168,-77.6162,694707
Dayton,Dayton,OH,,,Montgomery,39.7805,-84.2003,667936
Cape Coral,Cape Coral,FL,,,Lee,26.6443,-81.9957,656464
Provo,Provo,UT,,,Utah,40.2457,-111.6457,639820
Colorado Springs,Colorado Springs,CO,,,El Paso,38.8674,-104.7605,638421
Mission Viejo,Mission Viejo,CA,,,Orange,33.6096,-117.6551,634674
Allentown,Allentown,PA,,,Lehigh,40.5961,-75.4756,632175
Baton Rouge,Baton Rouge,LA,,,East Baton Rouge,30.442,-91.1311,630063
Ogden,Ogden,UT,,,Weber,41.2279,-111.9682,623688
Knoxville,Knoxville,TN,,,Knox,35.9692,-83.9496,618226
Grand Rapids,Grand Rapids,MI,,,Kent,42.9619,-85.6562,611480
Columbia,Columbia,SC,,,Richland,34.0378,-80.9036,605083
Albany,Albany,NY,,,Albany,42.6664,-73.7987,602242
Bakersfield,Bakersfield,CA,,,Kern,35.3529,-119.0359,578542
New Haven,New Haven,CT,,,South Central Connecticut,41.3113,-72.9246,565056
Des Moines,Des Moines,IA,,,Polk,41.5725,-93.6105,560170
Palm Bay,Palm Bay,FL,,,Brevard,27.9631,-80.6593,547659
Akron,Akron,OH,,,Summit,41.0798,-81.5219,538659
Concord,Concord,CA,,,Contra Costa,37.9722,-122.0016,525233
Mesa,Mesa,AZ,,,Maricopa,33.4015,-111.7178,507478
Wichita,Wichita,KS,,,Sedgwick,37.6895,-97.3443,501760
Harrisburg,Harrisburg,PA,,,Dauphin,40.2752,-76.8843,499494
Staten Island,Staten Island,NY,,,Richmond,40.5834,-74.1496,495747
Toledo,Toledo,OH,,,Lucas,41.6638,-83.5827,492076
Worcester,Worcester,MA,,,Worcester,42.2705,-71.8079,487014
Port St. Lucie,Port St. Lucie,FL,,,St. Lucie,27.2796,-80.3884,473733
Little Rock,Little Rock,AR,,,Pulaski,34.7256,-92.3577,467846
Madison,Madison,WI,,,Dane,43.0822,-89.393,460255
Spokane,Spokane,WA,,,Spokane,47.6671,-117.433,458988
Long Beach,Long Beach,CA,,,Los Angeles,33.7977,-118.167,458491
Denton,Denton,TX,,,Denton,33.2175,-97.1418,455152
Reno,Reno,NV,,,Washoe,39.5497,-119.8483,454814
Boise,Boise,ID,,,Ada,43.6005,-116.2308,449428
Bonita Springs,Bonita Springs,FL,,,Lee,26.3558,-81.7859,445500
Kissimmee,Kissimmee,FL,,,Osceola,28.3041,-81.4169,442790
Augusta,Augusta,GA,,,Richmond,33.3645,-82.0708,439361
Springfield,Springfield,MA,,,Hampden,42.1155,-72.5395,438889
Oakland,Oakland,CA,,,Alameda,37.7904,-122.2166,438072
Winston-Salem,Winston-Salem,NC,,,Forsyth,36.1029,-80.261,434231
Stockton,Stockton,CA,,,San Joaquin,37.9765,-121.3109,416005
Durham,Durham,NC,,,Durham,35.9792,-78.9022,411362
Chattanooga,Chattanooga,TN,,,Hamilton,35.066,-85.2481,410795
Greenville,Greenville,SC,,,Greenville,34.8354,-82.3646,408626
Lancaster,Lancaster,PA,,,Lancaster,40.042,-76.3012,408023
Syracuse,Syracuse,NY,,,Onondaga,43.0407,-76.1437,407625
Fayetteville,Fayetteville,AR,,,Washington,36.0714,-94.1661,405556
